"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Robert Jr., Luis","673357","CWS","145","CF","22","R","0.00","0.56","0.87","1.13","1.36","1.57","1.77","1.96","2.15","2.33","2.50","2.68","2.85","3.02","3.19","3.35","3.52","3.68","3.85"
"Robles, Victor","645302","WSH","120","CF","23","R","0.00","0.56","0.88","1.15","1.38","1.60","1.81","2.00","2.19","2.38","2.56","2.74","2.91","3.09","3.26","3.43","3.60","3.77","3.94"
"Rojas, Miguel","500743","MIA","146","SS","31","R","0.00","0.56","0.90","1.18","1.44","1.67","1.89","2.10","2.30","2.50","2.69","2.88","3.07","3.26","3.44","3.63","3.81","4.00","4.20"
"Rosario, Amed","642708","NYM","121","SS","24","R","0.00","0.56","0.88","1.14","1.38","1.60","1.81","2.00","2.19","2.38","2.56","2.73","2.91","3.08","3.25","3.42","3.59","3.75","3.93"
"Rosario, Eddie","592696","MIN","142","LF","28","L","0.00","0.54","0.87","1.14","1.38","1.60","1.82","2.02","2.21","2.40","2.59","2.77","2.95","3.13","3.31","3.49","3.67","3.86","4.05"
"Ruiz, Rio","547004","BAL","110","3B","26","L","0.00","0.55","0.88","1.16","1.42","1.65","1.87","2.09","2.30","2.50","2.70","2.90","3.09","3.28","3.48","3.67","3.87","4.07","4.29"
"Schoop, Jonathan","570731","DET","116","2B","28","R","0.00","0.57","0.90","1.18","1.42","1.65","1.87","2.08","2.27","2.47","2.65","2.84","3.02","3.20","3.37","3.55","3.73","3.91","4.09"
"Schwarber, Kyle","656941","CHC","112","LF","27","L","0.00","0.57","0.90","1.17","1.41","1.64","1.85","2.05","2.25","2.44","2.63","2.82","3.00","3.18","3.37","3.55","3.73","3.92","4.11"
"Seager, Corey","608369","LAD","119","SS","26","L","0.00","0.55","0.87","1.14","1.38","1.61","1.81","2.02","2.21","2.41","2.59","2.78","2.96","3.14","3.32","3.50","3.68","3.85","4.05"
"Segura, Jean","516416","PHI","143","2B","30","R","0.00","0.55","0.87","1.13","1.37","1.59","1.80","2.00","2.19","2.37","2.55","2.73","2.90","3.07","3.24","3.42","3.58","3.75","3.94"
"Semien, Marcus","543760","ATH","133","SS","29","R","0.00","0.55","0.87","1.13","1.36","1.58","1.79","1.98","2.18","2.37","2.55","2.73","2.90","3.08","3.25","3.42","3.59","3.76","3.94"
"Severino, Pedro","600474","BAL","110","C","26","R","0.00","0.55","0.89","1.16","1.41","1.63","1.85","2.05","2.26","2.46","2.65","2.84","3.02","3.21","3.39","3.57","3.74","3.92","4.11"
"Simmons, Andrelton","592743","LAA","108","SS","30","R","0.00","0.58","0.92","1.20","1.46","1.69","1.92","2.12","2.33","2.53","2.72","2.91","3.10","3.28","3.47","3.65","3.85","4.04","4.24"
"Smith, Will","669257","LAD","119","C","25","R","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.03","2.22","2.41","2.59","2.77","2.95","3.13","3.30","3.48","3.66","3.84","4.02"
"Solak, Nick","669256","TEX","140","LF","25","R","0.00","0.56","0.87","1.13","1.37","1.58","1.79","1.99","2.18","2.36","2.55","2.73","2.90","3.07","3.25","3.42","3.59","3.76","3.94"
"Solano, Donovan","456781","SF","137","2B","32","R","0.00","0.57","0.90","1.18","1.43","1.66","1.88","2.09","2.29","2.49","2.68","2.87","3.05","3.24","3.42","3.61","3.79","3.98","4.18"
"Soto, Juan","665742","WSH","120","LF","21","L","0.00","0.56","0.90","1.17","1.41","1.64","1.85","2.05","2.25","2.44","2.62","2.81","2.99","3.17","3.35","3.53","3.72","3.91","4.12"
"Springer, George","543807","HOU","117","CF","30","R","0.00","0.56","0.87","1.13","1.36","1.58","1.78","1.98","2.17","2.35","2.53","2.71","2.89","3.06","3.23","3.40","3.56","3.74","3.95"
"Story, Trevor","596115","COL","115","SS","27","R","0.00","0.56","0.87","1.13","1.36","1.58","1.79","1.98","2.17","2.35","2.53","2.71","2.88","3.05","3.22","3.39","3.56","3.73","3.90"
"Swanson, Dansby","621020","ATL","144","SS","26","R","0.00","0.55","0.87","1.13","1.37","1.59","1.80","1.99","2.18","2.37","2.55","2.72","2.90","3.07","3.24","3.41","3.58","3.75","3.94"
"Tapia, Raimel","606132","COL","115","LF","26","L","0.00","0.56","0.88","1.14","1.37","1.59","1.80","1.99","2.19","2.37","2.55","2.73","2.90","3.07","3.24","3.42","3.60","3.78","3.98"
"Tatis Jr., Fernando","665487","SD","135","SS","21","R","0.00","0.56","0.88","1.14","1.37","1.59","1.79","1.99","2.18","2.36","2.54","2.72","2.90","3.07","3.24","3.41","3.58","3.75","3.92"
"Taylor, Chris","621035","LAD","119","2B","29","R","0.00","0.57","0.89","1.16","1.40","1.62","1.84","2.04","2.23","2.42","2.61","2.79","2.96","3.14","3.32","3.49","3.66","3.84","4.01"
"Torres, Gleyber","650402","NYY","147","SS","23","R","0.00","0.57","0.91","1.18","1.44","1.67","1.89","2.09","2.30","2.49","2.69","2.88","3.06","3.25","3.44","3.62","3.81","4.00","4.20"
"Trout, Mike","545361","LAA","108","CF","28","R","0.00","0.54","0.86","1.11","1.34","1.56","1.76","1.96","2.14","2.32","2.50","2.67","2.84","3.01","3.18","3.35","3.51","3.68","3.86"
"Tsutsugo, Yoshi","660294","TB","139","DH","28","L","0.00","0.56","0.90","1.19","1.44","1.67","1.89","2.10","2.31","2.51","2.70","2.89","3.08","3.27","3.46","3.64","3.83","4.02","4.26"
"Tucker, Kyle","663656","HOU","117","LF","23","L","0.00","0.55","0.87","1.13","1.37","1.59","1.80","2.00","2.19","2.38","2.56","2.75","2.93","3.10","3.28","3.45","3.63","3.82","4.03"
"Turner, Trea","607208","WSH","120","SS","27","R","0.00","0.56","0.87","1.12","1.35","1.56","1.76","1.95","2.13","2.31","2.48","2.65","2.81","2.97","3.13","3.29","3.46","3.62","3.78"
"Urshela, Gio","570482","NYY","147","3B","28","R","0.00","0.59","0.93","1.21","1.45","1.69","1.91","2.12","2.33","2.53","2.72","2.92","3.11","3.30","3.49","3.69","3.88","4.08","4.30"
"Urías, Luis","649966","MIL","158","3B","23","R","0.00","0.56","0.89","1.16","1.41","1.63","1.85","2.05","2.25","2.44","2.63","2.82","3.01","3.19","3.38","3.56","3.74","3.93","4.12"
"Verdugo, Alex","657077","BOS","111","RF","24","L","0.00","0.56","0.88","1.14","1.38","1.60","1.81","2.01","2.21","2.40","2.58","2.76","2.94","3.12","3.29","3.46","3.63","3.81","4.02"
"Voit, Luke","572228","NYY","147","1B","29","R","0.00","0.56","0.90","1.19","1.45","1.69","1.92","2.14","2.35","2.56","2.77","2.97","3.17","3.37","3.57","3.77","3.97","4.17","4.39"
"Votto, Joey","458015","CIN","113","1B","36","L","0.00","0.55","0.88","1.15","1.41","1.65","1.87","2.08","2.29","2.50","2.69","2.89","3.08","3.27","3.47","3.66","3.85","4.06","4.29"
"Walker, Christian","572233","AZ","109","1B","29","R","0.00","0.55","0.88","1.16","1.40","1.63","1.85","2.06","2.26","2.45","2.64","2.83","3.01","3.19","3.37","3.55","3.73","3.91","4.09"
"Walsh, Jared","665120","LAA","108","1B","26","L","0.00","0.56","0.88","1.15","1.40","1.63","1.85","2.06","2.26","2.45","2.64","2.83","3.02","3.20","3.39","3.57","3.76","3.94","4.14"
"Wendle, Joey","621563","TB","139","3B","30","L","0.00","0.56","0.87","1.13","1.36","1.58","1.79","1.99","2.18","2.37","2.55","2.74","2.91","3.09","3.27","3.44","3.62","3.79","3.98"
"White, Evan","657108","SEA","136","1B","24","R","0.00","0.57","0.90","1.17","1.41","1.63","1.84","2.04","2.23","2.42","2.60","2.78","2.96","3.13","3.30","3.47","3.64","3.82","3.99"
"Wong, Kolten","543939","STL","138","2B","29","L","0.00","0.54","0.85","1.11","1.34","1.56","1.77","1.97","2.16","2.35","2.53","2.71","2.89","3.06","3.24","3.43","3.61","3.80","3.99"
"Yelich, Christian","592885","MIL","158","LF","28","L","0.00","0.53","0.84","1.10","1.33","1.55","1.76","1.96","2.15","2.34","2.52","2.70","2.87","3.05","3.22","3.40","3.57","3.76","3.94"
"d'Arnaud, Travis","518595","ATL","144","C","31","R","0.00","0.57","0.91","1.19","1.44","1.67","1.89","2.10","2.30","2.49","2.68","2.87","3.06","3.25","3.43","3.62","3.80","3.99","4.18"
