"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Canó, Robinson","429664","NYM","121","2B","37","L","0.00","0.56","0.90","1.19","1.44","1.68","1.91","2.13","2.33","2.54","2.74","2.94","3.14","3.34","3.53","3.72","3.92","4.12","4.33"
"Castellanos, Nick","592206","CIN","113","RF","28","R","0.00","0.57","0.90","1.17","1.42","1.65","1.86","2.07","2.27","2.47","2.66","2.84","3.03","3.21","3.39","3.57","3.74","3.92","4.10"
"Conforto, Michael","624424","NYM","121","RF","27","L","0.00","0.56","0.89","1.16","1.41","1.64","1.85","2.06","2.26","2.45","2.64","2.83","3.01","3.19","3.37","3.55","3.74","3.92","4.12"
"Contreras, Willson","575929","CHC","112","C","28","R","0.00","0.58","0.91","1.17","1.41","1.63","1.85","2.05","2.26","2.45","2.64","2.82","3.01","3.19","3.36","3.54","3.72","3.90","4.09"
"Cooper, Garrett","643265","MIA","146","1B","29","R","0.00","0.58","0.91","1.19","1.44","1.67","1.89","2.11","2.31","2.51","2.70","2.89","3.08","3.27","3.45","3.64","3.82","4.01","4.21"
"Correa, Carlos","621043","HOU","117","SS","25","R","0.00","0.56","0.88","1.15","1.39","1.62","1.83","2.03","2.23","2.41","2.60","2.78","2.96","3.13","3.31","3.48","3.66","3.84","4.03"
"Crawford, Brandon","543063","SF","137","SS","33","L","0.00","0.56","0.89","1.16","1.41","1.64","1.85","2.07","2.27","2.47","2.67","2.87","3.06","3.25","3.44","3.62","3.82","4.01","4.19"
"Crawford, J.P.","641487","SEA","136","SS","25","L","0.00","0.57","0.89","1.17","1.41","1.64","1.85","2.06","2.25","2.45","2.64","2.82","3.01","3.19","3.38","3.56","3.75","3.93","4.13"
"Cronenworth, Jake","630105","SD","135","2B","26","L","0.00","0.54","0.84","1.10","1.33","1.55","1.75","1.95","2.13","2.32","2.49","2.67","2.84","3.01","3.18","3.35","3.52","3.69","3.88"
"Cruz, Nelson","443558","MIN","142","DH","39","R","0.00","0.58","0.92","1.20","1.45","1.69","1.91","2.12","2.33","2.54","2.73","2.93","3.12","3.31","3.50","3.70","3.89","4.09","4.29"
"Davis, J.D.","605204","NYM","121","3B","27","R","0.00","0.57","0.89","1.16","1.41","1.63","1.84","2.05","2.24","2.43","2.62","2.81","2.99","3.17","3.34","3.52","3.69","3.87","4.05"
"Devers, Rafael","646240","BOS","111","3B","23","L","0.00","0.58","0.91","1.18","1.42","1.65","1.85","2.06","2.25","2.44","2.63","2.81","3.00","3.18","3.36","3.54","3.72","3.92","4.12"
"Dickerson, Corey","572816","MIA","146","LF","31","L","0.00","0.56","0.88","1.15","1.39","1.62","1.83","2.03","2.23","2.42","2.61","2.79","2.98","3.16","3.34","3.51","3.69","3.89","4.08"
"Dozier, Hunter","641531","KC","118","1B","28","R","0.00","0.57","0.90","1.17","1.42","1.64","1.86","2.06","2.26","2.45","2.64","2.82","3.00","3.18","3.35","3.53","3.70","3.88","4.07"
"Dubón, Mauricio","643289","SF","137","CF","25","R","0.00","0.55","0.87","1.13","1.36","1.58","1.79","1.99","2.18","2.37","2.55","2.73","2.91","3.09","3.27","3.44","3.62","3.79","3.97"
"Duvall, Adam","594807","ATL","144","LF","31","R","0.00","0.56","0.89","1.16","1.40","1.62","1.83","2.02","2.22","2.40","2.59","2.77","2.94","3.12","3.29","3.46","3.64","3.81","3.98"
"Díaz, Yandy","650490","TB","139","3B","28","R","0.00","0.57","0.91","1.19","1.44","1.68","1.90","2.11","2.32","2.52","2.72","2.91","3.10","3.29","3.48","3.67","3.86","4.05","4.25"
"Eaton, Adam","594809","WSH","120","RF","31","L","0.00","0.56","0.88","1.15","1.38","1.60","1.81","2.00","2.19","2.38","2.56","2.74","2.92","3.09","3.27","3.44","3.62","3.80","3.98"
"Edman, Tommy","669242","STL","138","3B","25","L","0.00","0.54","0.85","1.10","1.34","1.55","1.76","1.95","2.14","2.32","2.50","2.68","2.85","3.03","3.20","3.37","3.54","3.71","3.90"
"Engel, Adam","641553","CWS","145","RF","28","R","0.00","0.54","0.84","1.09","1.31","1.51","1.71","1.90","2.09","2.27","2.44","2.61","2.78","2.94","3.11","3.27","3.44","3.60","3.76"
"Fletcher, David","664058","LAA","108","SS","26","R","0.00","0.55","0.87","1.13","1.37","1.60","1.81","2.01","2.21","2.40","2.58","2.77","2.95","3.13","3.31","3.49","3.67","3.84","4.03"
"Flores, Wilmer","527038","SF","137","DH","28","R","0.00","0.57","0.92","1.21","1.47","1.71","1.94","2.16","2.38","2.58","2.78","2.98","3.18","3.37","3.56","3.76","3.95","4.15","4.36"
"Franco, Maikel","596748","KC","118","3B","27","R","0.00","0.56","0.91","1.20","1.45","1.69","1.92","2.13","2.34","2.54","2.74","2.93","3.13","3.32","3.51","3.69","3.88","4.08","4.28"
"Frazier, Adam","624428","PIT","134","2B","28","L","0.00","0.55","0.88","1.15","1.39","1.62","1.84","2.04","2.24","2.43","2.62","2.81","3.00","3.18","3.36","3.54","3.71","3.90","4.08"
"García Jr., Luis","671277","WSH","120","2B","20","L","0.00","0.54","0.85","1.11","1.35","1.58","1.79","1.99","2.19","2.38","2.56","2.75","2.93","3.11","3.29","3.48","3.67","3.87","4.08"
"García, Avisaíl","541645","MIL","158","CF","29","R","0.00","0.58","0.91","1.19","1.44","1.67","1.89","2.10","2.30","2.49","2.68","2.86","3.04","3.22","3.40","3.57","3.75","3.92","4.10"
"Goldschmidt, Paul","502671","STL","138","1B","32","R","0.00","0.56","0.89","1.16","1.40","1.63","1.85","2.05","2.26","2.45","2.65","2.84","3.02","3.21","3.39","3.58","3.76","3.96","4.15"
"González, Erik","570481","PIT","134","SS","28","R","0.00","0.58","0.90","1.18","1.42","1.65","1.86","2.07","2.27","2.46","2.65","2.84","3.02","3.20","3.37","3.55","3.73","3.91","4.10"
"Gregorius, Didi","544369","PHI","143","SS","30","L","0.00","0.55","0.88","1.16","1.41","1.63","1.85","2.06","2.26","2.45","2.64","2.83","3.01","3.19","3.37","3.55","3.73","3.91","4.11"
"Grichuk, Randal","545341","TOR","141","CF","28","R","0.00","0.55","0.86","1.13","1.37","1.59","1.80","2.00","2.19","2.38","2.57","2.75","2.93","3.11","3.28","3.46","3.64","3.82","4.01"
"Grisham, Trent","663757","SD","135","CF","23","L","0.00","0.53","0.84","1.10","1.33","1.54","1.74","1.93","2.12","2.30","2.48","2.65","2.82","2.98","3.15","3.32","3.49","3.66","3.86"
"Guerrero Jr., Vladimir","665489","TOR","141","1B","21","R","0.00","0.56","0.90","1.18","1.43","1.67","1.89","2.10","2.31","2.51","2.71","2.90","3.09","3.28","3.46","3.65","3.84","4.03","4.22"
"Gurriel Jr., Lourdes","666971","TOR","141","LF","26","R","0.00","0.57","0.90","1.17","1.42","1.65","1.86","2.07","2.27","2.46","2.65","2.84","3.03","3.21","3.40","3.58","3.76","3.95","4.15"
"Gurriel, Yuli","493329","HOU","117","1B","36","R","0.00","0.56","0.89","1.16","1.41","1.63","1.85","2.05","2.25","2.44","2.63","2.82","3.00","3.18","3.36","3.54","3.72","3.90","4.09"
