"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Cowser, Colton","681297","2024","7","59.3","0.5","-0.7","0.3","0.1","33.3","59","35"
"Crews, Dylan","686611","2024","1","55","2.2","2.6","-0.6","4.1","37.9","20","11"
"Crow-Armstrong, Pete","691718","2024","12","73","2.5","-0.1","0.5","2.8","37.4","63","46"
"Cruz, Oneil","665833","2024","3","80","1.6","0.9","0.6","3.1","38.7","10","8"
"De La Cruz, Bryan","650559","2024","-9","22","-1.6","-0.5","0","-2.2","31.2","41","9"
"DeLuca, Jonny","676356","2024","4","65.8","1.6","-0.4","0.4","1.6","35.9","38","25"
"Donovan, Brendan","680977","2024","-1","50","-0.5","0.4","-0.1","-0.2","33.8","44","22"
"Doyle, Brenton","686668","2024","9","64.9","0.9","-1.4","0.9","0.4","34.8","97","63"
"Dubón, Mauricio","643289","2024","2","64.9","0.8","0.5","0.2","1.4","35.7","37","24"
"Duran, Ezequiel","677649","2024","0","70","-0.5","1.5","-0.8","0.2","34.1","10","7"
"Duran, Jarren","680776","2024","7","63.2","0.7","1.2","-0.5","1.4","35.4","68","43"
"Duvall, Adam","594807","2024","1","58.3","-0.1","1.2","-0.4","0.6","34.8","36","21"
"Edman, Tommy","669242","2024","0","36.4","0.6","-0.1","0.2","0.6","34.6","11","4"
"Fairchild, Stuart","656413","2024","4","66.7","0.5","0.3","-0.1","0.7","34.9","39","26"
"Fletcher, Dominic","666150","2024","4","59.5","0.9","2.2","-1","2.1","36.3","37","22"
"Florial, Estevan","664314","2024","0","54.5","1","0.2","-0.5","0.7","34.1","11","6"
"Fraley, Jake","641584","2024","0","47.8","1.1","-0.3","0.2","1.1","34.2","46","22"
"Frazier, Adam","624428","2024","0","38.5","0.2","-0.6","0.9","0.5","33.5","13","5"
"Freeman, Tyler","671289","2024","-4","22.6","-1.5","-1.5","0.4","-2.5","31.3","31","7"
"Frelick, Sal","686217","2024","4","60.9","-0.2","0","-0.4","-0.6","33.4","64","39"
"Friedl, TJ","670770","2024","-7","35.4","-1","0.3","-0.9","-1.6","32.8","48","17"
"Gamel, Ben","592325","2024","-2","26.7","-0.6","-0.3","0.4","-0.5","33.4","15","4"
"García, Adolis","666969","2024","-8","29.6","-0.7","-0.1","0.3","-0.4","33.4","54","16"
"Goodman, Hunter","696100","2024","-2","37.5","-1.1","-0.6","0.4","-1.2","32.7","16","6"
"Gordon, Nick","624503","2024","-2","36.4","-0.3","-0.3","-0.1","-0.8","32.7","33","12"
"Greene, Riley","682985","2024","1","52.1","0.5","1.8","-1.3","1","34.4","48","25"
"Grichuk, Randal","545341","2024","-3","41.9","-0.1","-0.4","0.1","-0.5","33.8","31","13"
"Grisham, Trent","663757","2024","3","60.7","-0.6","2.1","-1.3","0.2","34.9","28","17"
"Grossman, Robbie","543257","2024","-3","20","-1.8","2.9","-3.9","-2.8","31","10","2"
"Gurriel Jr., Lourdes","666971","2024","1","52.9","0.3","0.8","-0.1","1.1","34.7","70","37"
"Hampson, Garrett","641658","2024","6","68.8","0.8","-0.6","0.4","0.7","34.6","32","22"
"Haniger, Mitch","571745","2024","-5","37","-1","0.1","0.3","-0.6","31.6","54","20"
"Happ, Ian","664023","2024","0","50","-0.7","0.3","-0.2","-0.6","32.6","72","36"
"Harris II, Michael","671739","2024","7","70.4","0.8","0.1","0.3","1.3","35.6","54","38"
"Hays, Austin","669720","2024","-3","32.4","-1.5","-0.7","-0.1","-2.3","30.6","34","11"
"Hernández, Enrique","571771","2024","0","60","-0.3","2.2","-2.1","-0.2","34","15","9"
"Hernández, Teoscar","606192","2024","-7","36.4","-1.1","-1.3","0.7","-1.7","31.8","77","28"
"Heyward, Jason","518792","2024","2","54.2","-0.8","-0.3","-0.2","-1.3","31","24","13"
"Hill, Derek","656537","2024","1","36","-0.4","-0.8","0.6","-0.6","33.5","25","9"
"Hilliard, Sam","656541","2024","0","47.8","-0.1","-1.1","-0.2","-1.4","32","23","11"
"Hinds, Rece","677956","2024","1","63.6","0","-0.1","-0.4","-0.4","32.7","11","7"
"Isbel, Kyle","664728","2024","8","57.4","1.5","1.9","-1.1","2.2","37","68","39"
"Jankowski, Travis","608671","2024","3","78.6","1.3","-0.2","0.2","1.3","36.4","14","11"
"Joe, Connor","656582","2024","-4","39.1","0.2","0.1","0.1","0.4","34.3","23","9"
"Jones, Nolan","666134","2024","-4","28.6","-2.2","-1.4","0.1","-3.5","29.3","28","8"
"Judge, Aaron","592450","2024","-4","37.3","-2.1","-1.3","0.2","-3.3","31","59","22"
"Julks, Corey","667452","2024","-1","40","-1.8","0.5","-0.2","-1.4","30.6","10","4"
"Kelenic, Jarred","672284","2024","-1","50","0.3","0.9","-1","0.3","33.8","42","21"
"Kepler, Max","596146","2024","2","48.6","0.2","-0.2","0.5","0.4","32.7","35","17"
"Kiermaier, Kevin","595281","2024","10","75.9","1.8","0.4","0.6","2.8","37.4","54","41"
"Kirilloff, Alex","666135","2024","-1","30","-2.4","-0.7","0.7","-2.4","31.4","10","3"
"Kwan, Steven","680757","2024","5","45.8","1.2","-0.1","0.4","1.6","34.8","59","27"
"Langford, Wyatt","694671","2024","5","46.2","1.3","0.6","-0.2","1.7","34.9","52","24"
"Larnach, Trevor","663616","2024","1","55","-1.4","-0.7","0.7","-1.3","31.4","20","11"
"Laureano, Ramón","657656","2024","-5","28.9","-0.1","0.4","0.2","0.5","34.4","45","13"
"Lee, Jung Hoo","808982","2024","0","57.1","0.2","0","-0.5","-0.2","34.6","21","12"
"Loperfido, Joey","694388","2024","-2","43.5","-2.4","-0.8","0.5","-2.7","31.7","23","10"
"Lowe, Josh","666139","2024","-2","38.9","-0.3","-0.5","0.6","-0.2","33.6","36","14"
"Lukes, Nathan","664770","2024","-2","21.4","-0.7","-0.2","0.5","-0.5","31.7","14","3"
"Margot, Manuel","622534","2024","-4","40","-1.6","0.5","-0.1","-1.1","32.5","35","14"
"Marsh, Brandon","669016","2024","-2","41.3","0.2","-0.7","0.3","-0.3","33.5","63","26"
"Marte, Starling","516782","2024","-9","29.7","-0.6","-0.2","0.3","-0.6","32.3","37","11"
"Martin, Austin","668885","2024","-5","20.7","-0.8","-1.5","0.1","-2.2","32","29","6"
"Martínez, Angel","682657","2024","-1","36.4","-1","0.3","-0.1","-0.8","34.4","11","4"
"Matos, Luis","682641","2024","-3","34.6","0.3","-0.5","0.1","0","33.4","26","9"
"McCarthy, Jake","664983","2024","2","48.6","0.5","-0.8","0.2","0","33.6","70","34"
"McCormick, Chas","676801","2024","4","63.4","0.4","0.2","0.1","0.7","34.9","41","26"
"McCray, Grant","687529","2024","-4","42.1","-1.4","-0.9","-0.6","-2.9","30.8","19","8"
"Meadows, Parker","678009","2024","7","74.3","0.9","1.8","-0.7","2","37","35","26"
"Melendez, MJ","669004","2024","-3","42.2","-1","-1.8","0.3","-2.5","31.6","45","19"
"Merrill, Jackson","701538","2024","9","62.5","1.1","1.7","-1.2","1.6","35.8","64","40"
"Meyers, Jake","676694","2024","9","70.4","1.2","0.3","0.4","1.9","36.5","54","38"
"Mitchell, Garrett","669003","2024","2","45.8","0.6","-0.2","-0.1","0.3","34.2","24","11"
"Moniak, Mickey","666160","2024","-1","45.7","0.3","-1","0.4","-0.3","34","46","21"
"Mullins, Cedric","656775","2024","2","58.5","0.6","-0.9","0.8","0.5","35.1","53","31"
"Myers, Dane","667472","2024","-1","50","0.6","1.6","-1.3","0.8","34.3","18","9"
"Nevin, Tyler","663527","2024","-2","46.7","-0.6","-1.1","0.9","-0.8","32.2","15","7"
"Nimmo, Brandon","607043","2024","-2","39.1","-0.6","-0.8","0.4","-1","32.3","64","25"
"Noel, Jhonkensy","678877","2024","-2","43.5","-1.2","0.4","-0.1","-1","33","23","10"
"Nootbaar, Lars","663457","2024","-2","44.7","-1.2","-0.7","-0.2","-2","31.8","47","21"
"O'Hearn, Ryan","656811","2024","-1","38.5","-1.9","-0.9","0.9","-1.9","30.8","13","5"
"O'Neill, Tyler","641933","2024","-4","40.5","-1.9","-0.7","0","-2.5","30.9","42","17"
"Olivares, Edward","658668","2024","-4","31.3","-1.5","-0.8","-0.2","-2.4","29.5","16","5"
"Outman, James","681546","2024","2","61.1","0.6","-0.9","0.5","0.2","34.6","18","11"
"Pache, Cristian","665506","2024","2","54.2","1.7","0.8","-0.5","2","35.8","24","13"
"Pages, Andy","681624","2024","-1","46.4","0.7","0.3","-0.1","0.9","34.7","56","26"
"Palacios, Richie","680700","2024","1","58.3","1","0.3","0.6","1.9","34.7","24","14"
"Peralta, David","444482","2024","-4","32.1","-2.2","0","-0.3","-2.5","30.8","28","9"
"Perkins, Blake","663368","2024","7","73.1","1.6","0","0.2","1.8","35.4","52","38"
"Pham, Tommy","502054","2024","-4","41.3","-0.7","-0.6","0.1","-1.2","31.8","46","19"
"Pillar, Kevin","607680","2024","-2","30.8","-0.7","-0.7","1.1","-0.3","34.3","26","8"
"Profar, Jurickson","595777","2024","-7","37.9","-1.9","-0.3","-0.4","-2.5","30.7","66","25"
"Pérez, Wenceel","672761","2024","3","55.8","0.3","0.5","0.2","0.9","35.2","43","24"
"Rafaela, Ceddanne","678882","2024","6","59.4","1.9","2.2","-0.9","3.2","37.4","32","19"
"Raley, Luke","670042","2024","-4","38.7","-1.7","-1.3","0.6","-2.4","30.5","31","12"
"Ramos, Heliot","671218","2024","-5","36.4","-0.8","-0.4","-0.6","-1.7","32.1","55","20"
"Refsnyder, Rob","608701","2024","-1","42.5","-0.5","1.4","-1.2","-0.3","33.8","40","17"
"Renfroe, Hunter","592669","2024","-6","32.3","-1","0.2","0.1","-0.7","32.7","62","20"
"Reynolds, Bryan","668804","2024","-9","21","-0.2","-1.3","0.6","-0.9","32.6","62","13"
"Robert Jr., Luis","673357","2024","-1","46.8","-1.1","-0.9","0.4","-1.7","32.7","47","22"
"Robles, Victor","645302","2024","2","60","1.3","-0.9","0.1","0.5","35","25","15"
"Rodríguez, Julio","677594","2024","6","58.6","1.5","-0.7","0.4","1.2","35.8","70","41"
"Rojas, Johan","679032","2024","8","60","1.8","0.7","-0.1","2.3","36.8","55","33"
"Rooker, Brent","667670","2024","-1","20","-1.2","-0.1","-0.3","-1.6","31.6","10","2"
"Rosario, Amed","642708","2024","-1","35.3","-0.7","-0.2","-0.1","-0.9","32.3","17","6"
"Rosario, Eddie","592696","2024","-5","36.1","-0.1","0.1","-0.2","-0.1","33.4","36","13"
"Ruiz, Esteury","665923","2024","-1","46.2","-3.1","-1.6","0.3","-4.3","28.3","13","6"
"Santander, Anthony","623993","2024","-2","44.8","-0.7","-0.9","0.8","-0.8","32.1","67","30"
"Schneemann, Daniel","682177","2024","2","64.3","1.3","1.1","0.4","2.8","36.9","14","9"
"Schneider, Davis","676914","2024","1","52.3","-0.3","0","0.1","-0.2","32.3","44","23"
"Scott II, Victor","687363","2024","3","50","1","-0.1","-0.2","0.7","34.4","24","12"
"Sheets, Gavin","657757","2024","-3","15.4","-2.6","-1.3","0.2","-3.7","30.9","13","2"
"Siani, Michael","672279","2024","12","75.5","1.8","1.6","-0.6","2.9","37","53","40"
"Siri, Jose","642350","2024","14","77.8","2.3","1.2","-0.2","3.2","38.4","63","49"
"Slater, Austin","596103","2024","-1","52.2","0.3","-1.2","0.4","-0.5","33.4","23","12"
"Soler, Jorge","624585","2024","-6","23.8","-3.4","-0.4","-0.1","-4","29.4","21","5"
"Soto, Juan","665742","2024","-5","31.5","0.2","1","-0.3","0.9","33.6","73","23"
"Springer, George","543807","2024","-3","45.1","-1.5","-0.1","0","-1.7","31.8","51","23"
"Steer, Spencer","668715","2024","-1","39","-0.8","-0.3","0.5","-0.6","32.7","41","16"
"Stewart, DJ","621466","2024","-3","23.1","-2","-1.5","0.3","-3.2","31.2","13","3"
"Stowers, Kyle","669065","2024","-5","27.3","-1.5","-2.1","0.2","-3.3","30.7","22","6"
"Suwinski, Jack","669261","2024","-6","35.2","-0.5","-0.9","0","-1.4","32.4","54","19"
"Suzuki, Seiya","673548","2024","-1","51.3","0.7","0.8","-0.5","1","34.9","39","20"
"Sánchez, Jesús","660821","2024","2","51","-0.1","0.5","0.1","0.5","33.9","51","26"
"Tatis Jr., Fernando","665487","2024","-1","40","1.1","-0.2","0.1","1","34.7","40","16"
"Tauchman, Mike","643565","2024","0","31.3","0.6","0.7","-0.3","1.1","35.2","16","5"
"Taveras, Leody","665750","2024","4","53.6","0.8","1.4","-1.1","1.1","35.9","69","37"
"Taylor, Chris","621035","2024","-1","53.3","-1","-1.2","0.6","-1.6","31.8","15","8"
"Taylor, Michael A.","572191","2024","7","67.3","1.6","0","0.4","2","36.4","49","33"
"Taylor, Tyrone","621438","2024","4","64.2","1.6","0.1","0","1.7","36","53","34"
"Thomas, Alek","677950","2024","-2","26.7","-1.3","0.4","-1.2","-2.1","31.5","15","4"
"Thomas, Lane","657041","2024","-5","32.3","-0.8","-0.4","0.1","-1","33","65","21"
"Trout, Mike","545361","2024","-2","40","-0.5","-1.2","-0.1","-1.8","31.8","10","4"
"Tucker, Kyle","663656","2024","0","51.7","-1.8","-0.8","0.1","-2.4","30.1","29","15"
"Vargas, Miguel","678246","2024","-3","30","-0.5","-0.1","0.4","-0.2","33.6","10","3"
"Varsho, Daulton","662139","2024","10","61.5","1.9","1.3","0.1","3.2","37.6","78","48"
"Verdugo, Alex","657077","2024","2","48.8","0.1","0.5","-0.3","0.2","33.4","82","40"
"Vierling, Matt","663837","2024","-1","55.9","0.2","-1","0.6","-0.3","33.7","34","19"
"Walker, Jordan","691023","2024","-3","29.4","-0.7","-0.6","-0.9","-2.3","31","17","5"
"Wallner, Matt","670242","2024","-4","33.3","-3.1","-2.1","0.7","-4.5","28.4","30","10"
"Ward, Taylor","621493","2024","2","49.2","0.5","0.5","0.5","1.4","35.4","63","31"
"Winker, Jesse","608385","2024","-7","34.1","-2.2","-1.5","0.4","-3.3","30","44","15"
"Wood, James","695578","2024","-3","22.2","-2.8","0.4","-1.3","-3.7","30.1","27","6"
"Yastrzemski, Mike","573262","2024","-2","44.1","1.1","-0.5","0.4","1.1","34.8","59","26"
"Yelich, Christian","592885","2024","-3","42.9","-1.9","-0.7","0.3","-2.4","30.6","21","9"
"Young, Jacob","696285","2024","17","69.3","1.6","4.2","-2.8","3","38","75","52"
