"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2024","6","61.1","0","0.6","0.2","0.8","34.9","54","33"
"Acuña Jr., Ronald","660670","2024","-2","10","-0.4","-0.3","0.9","0.2","32.8","10","1"
"Adell, Jo","666176","2024","0","54.9","-0.1","-1.2","-0.1","-1.4","31.8","51","28"
"Alvarez, Yordan","670541","2024","-5","21.7","-3.1","-1.5","0.9","-3.6","28.3","23","5"
"Andujar, Miguel","609280","2024","-6","28.6","-1.8","1.3","-1.3","-1.8","32.5","35","10"
"Arozarena, Randy","668227","2024","-7","32.1","-1.6","-0.6","0.1","-2.2","31.2","78","25"
"Azócar, José","640492","2024","2","45.5","2.3","1.8","-1.2","2.8","36.9","11","5"
"Baddoo, Akil","668731","2024","0","45.5","-2.2","0","-1.4","-3.6","28.2","11","5"
"Bader, Harrison","664056","2024","7","71.7","0.9","-0.5","0.4","0.8","35.7","53","38"
"Bae, Jihwan","678225","2024","1","50","1.7","0.3","-0.3","1.7","35.1","20","10"
"Barger, Addison","680718","2024","-1","40","-0.4","0.7","-0.7","-0.4","33.3","10","4"
"Beck, Jordan","687597","2024","-1","41.9","-0.4","-1.3","0","-1.8","31.1","31","13"
"Bellinger, Cody","641355","2024","-1","38.5","1","0.5","0.2","1.7","35.3","39","15"
"Benintendi, Andrew","643217","2024","-8","24.6","-1.4","-0.3","-0.2","-2","31.1","57","14"
"Benson, Will","666181","2024","-3","33.9","-1","0.1","-0.5","-1.4","32.3","56","19"
"Betts, Mookie","605141","2024","-1","40.6","-0.7","-0.5","0.7","-0.5","32.2","32","13"
"Blackmon, Charlie","453568","2024","-1","30","-1","-1.9","0","-2.9","32.4","10","3"
"Blanco, Dairon","680118","2024","1","56.3","-0.1","-1.2","0.6","-0.7","32.8","16","9"
"Bleday, JJ","668709","2024","-3","41.6","0","-0.4","0.2","-0.1","34.4","77","32"
"Bouchard, Sean","656248","2024","-1","40.9","-1.5","0.3","-0.3","-1.5","31.4","22","9"
"Brennan, Will","686823","2024","-2","40","0.7","-0.4","0.2","0.5","34.3","45","18"
"Brown, Seth","664913","2024","-3","37.1","-1.4","-0.5","-0.1","-1.9","31.6","35","13"
"Burleson, Alec","676475","2024","-7","8.7","-3.6","-1.3","0.6","-4.4","29.5","23","2"
"Butler, Lawrence","671732","2024","-4","42.1","0.1","-0.2","0.2","0.1","33.5","57","24"
"Buxton, Byron","621439","2024","2","46.7","0.9","-0.5","0.5","0.9","35.9","45","21"
"Call, Alex","669743","2024","1","52.4","0.2","1.5","-1","0.7","34.2","21","11"
"Cameron, Daz","663662","2024","-3","17.6","-0.6","-1.7","0.5","-1.8","31.6","17","3"
"Canha, Mark","592192","2024","-1","30.8","0","0.2","0.5","0.7","34.2","13","4"
"Canzone, Dominic","686527","2024","-1","55.6","-0.6","-0.9","0.6","-0.9","32.3","18","10"
"Carlson, Dylan","666185","2024","-6","41.5","-0.9","-0.5","0.1","-1.3","33","41","17"
"Carpenter, Kerry","681481","2024","0","32","0.8","-1","0.6","0.3","32.6","25","8"
"Carroll, Corbin","682998","2024","6","50","0.5","1.8","-2","0.3","34","96","48"
"Carter, Evan","694497","2024","-1","41.7","-1.1","-0.9","0","-2","31.1","12","5"
"Castellanos, Nick","592206","2024","-9","36.7","-1.9","-0.7","-0.1","-2.7","29.8","60","22"
"Castro, Willi","650489","2024","-3","39.3","0","0.1","-0.1","0","34.5","28","11"
"Cave, Jake","595909","2024","-2","34","-0.3","-0.3","0","-0.6","33.1","50","17"
"Chisholm Jr., Jazz","665862","2024","1","53.8","0.1","0.3","0.2","0.6","35","52","28"
"Chourio, Jackson","694192","2024","4","56.8","-0.8","1.2","-0.3","0.1","33.4","74","42"
"Conforto, Michael","624424","2024","-3","35.1","-2.3","-0.7","0.1","-2.9","29.9","37","13"
"Conine, Griffin","665052","2024","1","70","0.9","0.3","0.1","1.3","35.6","10","7"
