"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Judge, Aaron","592450","2023","-2","29.6","0.2","0.2","-0.4","0","32.5","27","8"
"Julks, Corey","667452","2023","-1","28","-1.6","-0.6","0.2","-2","29.5","25","7"
"Kelenic, Jarred","672284","2023","0","51.4","1","-0.2","-0.2","0.6","33.1","37","19"
"Kemp, Tony","643393","2023","-1","39.1","-1","-1.1","0.6","-1.6","30.8","23","9"
"Kepler, Max","596146","2023","2","53.7","-0.2","-0.5","0.7","0.1","33.1","54","29"
"Kiermaier, Kevin","595281","2023","9","74.5","2.4","0.6","0.3","3.3","37.3","47","35"
"Kiner-Falefa, Isiah","643396","2023","-1","46.7","0.2","2.2","-0.4","2","35.5","30","14"
"Kwan, Steven","680757","2023","8","58.8","0.5","-0.6","0.9","0.8","33.1","85","50"
"Larnach, Trevor","663616","2023","-2","33.3","-1.5","-1.2","0.4","-2.3","30.1","18","6"
"Laureano, Ramón","657656","2023","0","39.2","0.5","0.4","-0.1","0.7","34.2","51","20"
"Locastro, Tim","641796","2023","0","54.5","-2.6","-1.1","0.6","-3.1","29.7","11","6"
"Lowe, Josh","666139","2023","-3","46.7","0","-0.5","0.6","0.1","33.1","45","21"
"Margot, Manuel","622534","2023","1","55.8","0.3","1.3","0","1.5","35","43","24"
"Marisnick, Jake","545350","2023","3","100","0.8","0","-0.4","0.4","35","15","15"
"Marlowe, Cade","687799","2023","0","54.5","1.6","-1.3","0.5","0.8","33.2","11","6"
"Marsh, Brandon","669016","2023","6","52.2","0.7","-0.6","0.2","0.3","34.4","69","36"
"Marte, Starling","516782","2023","-4","36.8","-1.1","-0.5","0.3","-1.2","31","38","14"
"Matos, Luis","682641","2023","-5","36.8","-0.7","-1.4","0.5","-1.6","31.9","38","14"
"McCarthy, Jake","664983","2023","1","62.9","0.8","-0.3","-0.2","0.3","33.2","35","22"
"McCormick, Chas","676801","2023","3","54.9","0","0.7","-0.2","0.4","34.1","51","28"
"McKenna, Ryan","663630","2023","3","57.9","1","-0.4","0.4","1","34.7","19","11"
"McKinney, Billy","641856","2023","-1","36.4","-0.1","-0.1","-0.2","-0.5","33.7","11","4"
"McKinstry, Zach","656716","2023","1","53.6","0.8","0.5","-0.3","1","34.5","28","15"
"McNeil, Jeff","643446","2023","2","45.2","0.2","0.2","0.4","0.8","33.7","31","14"
"Meadows, Parker","678009","2023","3","94.1","0.8","0.1","-0.3","0.6","35.3","17","16"
"Meckler, Wade","685133","2023","-1","57.1","-1.1","0.5","-1.4","-2","32.3","14","8"
"Melendez, MJ","669004","2023","-6","30","-1.1","-1.2","0.1","-2","31","60","18"
"Merrifield, Whit","593160","2023","-3","44.2","-0.8","-0.6","0.5","-0.9","32.1","43","19"
"Meyers, Jake","676694","2023","6","81.1","1.7","0.7","0.3","2.7","37.3","37","30"
"Moniak, Mickey","666160","2023","2","57.9","0.4","-1.2","0.4","-0.4","33.3","38","22"
"Moore, Dylan","664238","2023","1","56.3","1","0.4","0.1","1.5","35.4","16","9"
"Morel, Christopher","666624","2023","-3","28.6","-2.5","-0.9","0.1","-3.3","30.4","14","4"
"Mullins, Cedric","656775","2023","5","69.2","0","-1.1","0.8","-0.3","34","52","36"
"Myers, Wil","571976","2023","-1","50","-2.3","-1.6","0.5","-3.4","28.1","14","7"
"Nimmo, Brandon","607043","2023","-1","52.1","-0.7","-1.2","0.8","-1.1","33","71","37"
"Nootbaar, Lars","663457","2023","0","43.1","-0.1","0.1","-0.2","-0.3","32.8","65","28"
"O'Neill, Tyler","641933","2023","1","51.4","0.6","0","0.5","1.1","33.6","37","19"
"Olivares, Edward","658668","2023","-4","14.8","-2.2","-1.5","0.2","-3.5","29.1","27","4"
"Ortega, Rafael","542364","2023","0","50","-0.2","-0.2","-0.1","-0.6","33.2","20","10"
"Outman, James","681546","2023","8","65.8","0.3","-0.7","0","-0.4","33.3","76","50"
"Pache, Cristian","665506","2023","3","72.2","0.4","1.1","-0.1","1.3","34.6","18","13"
"Palacios, Joshua","641943","2023","-2","48","-0.3","0.2","-0.4","-0.5","32.7","25","12"
"Palacios, Richie","680700","2023","-3","36.8","0.6","-0.9","0.4","0.2","32.6","19","7"
"Pederson, Joc","592626","2023","-2","23.1","-1.3","-0.3","-0.7","-2.3","27.8","13","3"
"Peralta, David","444482","2023","-2","40","-1.1","0.1","-0.3","-1.3","31.9","40","16"
"Pereira, Everson","677592","2023","1","53.3","1.8","0.8","0.1","2.8","35","15","8"
"Perkins, Blake","663368","2023","6","70.6","1.1","0","0.2","1.7","35.1","34","24"
"Pham, Tommy","502054","2023","-2","39.5","-0.3","-0.4","-0.1","-0.7","32.2","43","17"
"Pillar, Kevin","607680","2023","2","59.4","-0.7","0.2","0.7","0.2","34.1","32","19"
"Pratto, Nick","668472","2023","-1","41.7","-1.8","-0.6","0.1","-2.2","30.6","12","5"
"Profar, Jurickson","595777","2023","-10","22.7","-3","-0.2","-0.5","-3.7","29.5","44","10"
"Raley, Luke","670042","2023","-2","37.9","-0.3","-0.8","0.5","-0.7","33.3","29","11"
"Refsnyder, Rob","608701","2023","-3","36.8","-0.9","-0.4","0.4","-1","32.2","19","7"
"Renfroe, Hunter","592669","2023","-3","26.8","-0.3","0.7","-0.5","-0.2","32.6","56","15"
"Reynolds, Bryan","668804","2023","-3","39.6","-0.4","-0.8","0.4","-0.8","31.7","48","19"
"Robert Jr., Luis","673357","2023","9","59.2","0.4","-0.3","0.5","0.6","35","71","42"
"Robles, Victor","645302","2023","-1","42.1","-0.9","-1.5","0.2","-2.2","33","19","8"
"Rodríguez, Julio","677594","2023","8","64","1.7","-0.2","0.2","1.6","36.1","75","48"
"Rojas, Johan","679032","2023","7","83.9","2.1","0.6","0.1","2.8","37.3","31","26"
"Rooker, Brent","667670","2023","-5","31.8","-1.4","-0.7","-0.8","-2.8","29.8","22","7"
"Rosario, Eddie","592696","2023","1","45.1","-0.5","0","0.2","-0.4","33.5","71","32"
"Ruiz, Esteury","665923","2023","3","51.7","0.1","-0.3","-0.1","-0.3","33.4","58","30"
"Sabol, Blake","666165","2023","-1","54.5","-0.5","-1","0.3","-1.3","32","11","6"
"Santander, Anthony","623993","2023","1","49","-0.6","-0.6","0.6","-0.6","32.1","49","24"
"Schwarber, Kyle","656941","2023","-14","15.7","-2.6","-1.8","0.7","-3.7","28.8","51","8"
"Senzel, Nick","669222","2023","-5","25","-1.2","-0.7","-0.1","-2","30.9","20","5"
"Sheets, Gavin","657757","2023","1","53.3","-2.2","0.3","-0.8","-2.7","30.8","15","8"
"Siri, Jose","642350","2023","6","60","1","0.9","-0.9","1.1","34.9","50","30"
"Slater, Austin","596103","2023","3","55.6","0.7","-1.2","0.5","0.1","34.1","27","15"
"Smith, Pavin","656976","2023","-1","28.6","-0.4","-0.7","0.7","-0.4","30.7","14","4"
"Soto, Juan","665742","2023","-4","33.8","0.2","0.9","-0.8","0.3","33.1","74","25"
"Springer, George","543807","2023","3","52.9","0.2","-0.1","-0.2","-0.1","32.6","70","37"
"Stanton, Giancarlo","519317","2023","-2","20","-1.2","-0.7","0.9","-1.1","31.1","10","2"
"Steer, Spencer","668715","2023","-2","28","0.2","-0.2","-0.1","-0.1","32","25","7"
"Stewart, DJ","621466","2023","-1","35","-1","-0.3","0.3","-1","32.4","20","7"
"Straw, Myles","664702","2023","3","56.7","0.2","-0.4","0.4","0.2","34","67","38"
"Suwinski, Jack","669261","2023","0","49.3","-0.8","-1.1","0.3","-1.6","32.3","67","33"
"Suzuki, Seiya","673548","2023","2","52.9","1.2","0.6","-0.4","1.4","34","51","27"
"Sánchez, Jesús","660821","2023","-2","41.3","0.7","0.8","-0.2","1.2","34.4","46","19"
"Tapia, Raimel","606132","2023","-2","23.1","0.2","0.2","-0.2","0.2","32.1","13","3"
"Tatis Jr., Fernando","665487","2023","10","64.6","1.3","0","0.4","1.7","34.9","65","42"
"Tauchman, Mike","643565","2023","2","52.5","-1","0.2","-0.2","-1","32.9","40","21"
"Taveras, Leody","665750","2023","5","54.2","1.4","1.9","-1.2","2.1","36.2","83","45"
"Taylor, Chris","621035","2023","-1","37.5","-0.8","-1.4","0.8","-1.4","30.8","24","9"
"Taylor, Michael A.","572191","2023","5","60.3","0","-0.4","0.6","0.2","34.4","63","38"
"Taylor, Tyrone","621438","2023","2","61.5","-0.3","-0.2","0.4","-0.1","32.5","26","16"
"Thomas, Alek","677950","2023","3","60.3","0.4","1.3","-1.9","-0.2","33.5","68","41"
"Thomas, Lane","657041","2023","-3","41.7","-0.1","-0.7","0.5","-0.3","32.5","84","35"
"Thompson, Trayce","572204","2023","0","50","-2.6","1","-1.5","-3.1","30.7","16","8"
"Trout, Mike","545361","2023","2","45.2","0.4","-0.1","-0.3","0.1","34.4","42","19"
"Tucker, Kyle","663656","2023","-7","37.6","-1","-0.4","0.4","-1","31.4","93","35"
"Varsho, Daulton","662139","2023","8","71","1","0.8","0.1","1.9","35.6","62","44"
"Velázquez, Nelson","676369","2023","-4","27.3","-1.7","-1.7","0.5","-2.9","29.8","11","3"
"Verdugo, Alex","657077","2023","1","44.2","0.5","0.5","-0.3","0.7","32.9","52","23"
"Vierling, Matt","663837","2023","-3","33.3","0.4","0","-0.1","0.3","33.3","54","18"
"Walker, Jordan","691023","2023","-12","16","-0.7","-1","0.4","-1.3","32.1","50","8"
"Wallner, Matt","670242","2023","-4","29.2","-2","-1.9","0.3","-3.6","29.2","24","7"
"Ward, Taylor","621493","2023","2","45.5","0","-0.1","0.3","0.2","33.4","44","20"
"Waters, Drew","671221","2023","5","51.1","1.8","-0.5","0.2","1.5","34.9","47","24"
"Wiemer, Joey","686894","2023","6","66.7","0.9","2","-1.3","1.6","35.3","57","38"
"Yastrzemski, Mike","573262","2023","1","54.5","0.5","-0.3","0.4","0.6","34.4","44","24"
"Yelich, Christian","592885","2023","4","58.3","-0.9","0.2","-0.1","-0.7","32.7","48","28"
"Yoshida, Masataka","807799","2023","-5","27.5","-2.1","-0.1","0","-2.2","31.1","40","11"
"Young, Jacob","696285","2023","4","68.8","2.2","3.7","-2.5","3.4","37.5","16","11"
