"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2023","-4","41.3","-1","-0.9","0.7","-1.1","31.2","63","26"
"Alu, Jake","666906","2023","-1","27.3","-1","0.5","-0.5","-1","30.6","11","3"
"Alvarez, Yordan","670541","2023","-3","7.7","-2.6","-1.6","0.8","-3.4","29.7","13","1"
"Arozarena, Randy","668227","2023","-5","42.5","-1.2","-0.6","-0.1","-1.9","30.9","73","31"
"Baddoo, Akil","668731","2023","1","42.4","0.6","0.1","0.5","1.1","33.4","33","14"
"Bader, Harrison","664056","2023","4","70.5","1.6","-0.3","0.3","1.5","36.3","44","31"
"Bae, Jihwan","678225","2023","4","81.3","2.6","1.1","-0.4","3.2","37.1","16","13"
"Bauers, Jake","641343","2023","-1","38.2","-0.9","0.4","0.4","-0.1","32.2","34","13"
"Bellinger, Cody","641355","2023","1","53.3","0","0.4","0","0.3","33.7","30","16"
"Benintendi, Andrew","643217","2023","-8","32.4","-1.4","-0.3","0","-1.7","31","68","22"
"Benson, Will","666181","2023","-4","40.4","-0.5","-0.7","-0.2","-1.4","31.8","47","19"
"Betts, Mookie","605141","2023","-2","37.8","-0.4","-0.6","0.6","-0.4","32.6","37","14"
"Blackmon, Charlie","453568","2023","1","58.3","-0.3","-0.5","0.6","-0.2","32.7","12","7"
"Blanco, Dairon","680118","2023","1","43.5","-0.8","-0.6","0.8","-0.5","31.9","23","10"
"Bleday, JJ","668709","2023","-3","35.7","-1.2","-0.7","0.1","-1.8","31.8","42","15"
"Bradley Jr., Jackie","598265","2023","3","66.7","1.3","2.3","-1.8","1.9","36.1","15","10"
"Brennan, Will","686823","2023","-1","47.9","-0.7","-0.6","0.3","-1","31.8","48","23"
"Brown, Seth","664913","2023","-4","37.5","-0.9","0.4","-0.2","-0.6","32.7","40","15"
"Bryant, Kris","592178","2023","-4","25","-2.3","0.1","-0.8","-3","28.6","24","6"
"Burleson, Alec","676475","2023","-6","14.3","-4.6","-1.7","0.7","-5.6","27.4","21","3"
"Butler, Lawrence","671732","2023","1","50","-0.3","0.2","0.2","0.1","35.1","18","9"
"Cabrera, Oswaldo","665828","2023","-2","34.6","0","1.2","-0.2","0.9","34.4","26","9"
"Call, Alex","669743","2023","5","54.8","0.3","2","-0.3","1.9","36.1","73","40"
"Canha, Mark","592192","2023","0","35.7","-1.4","-0.2","0.3","-1.3","32.1","28","10"
"Canzone, Dominic","686527","2023","-2","41.7","-1.2","-0.9","-1","-3.1","30.1","12","5"
"Capel, Conner","668843","2023","-2","30.8","-2.1","1.1","-1.2","-2.2","29.8","13","4"
"Carlson, Dylan","666185","2023","1","52.8","-0.5","-0.5","0.5","-0.6","32.9","36","19"
"Carpenter, Kerry","681481","2023","-2","42.5","-0.1","0.1","-1.7","-1.7","30.2","40","17"
"Carroll, Corbin","682998","2023","2","42.9","1.2","1.9","-1.4","1.7","34","70","30"
"Carter, Evan","694497","2023","4","70","1.6","0.7","-0.3","2","35.2","20","14"
"Castellanos, Nick","592206","2023","-6","29.1","-2.4","-0.5","0.1","-2.7","29.7","55","16"
"Castro, Willi","650489","2023","-2","33.3","-0.8","0.3","-0.8","-1.3","31.8","33","11"
"Cave, Jake","595909","2023","0","43.8","-0.6","-0.2","0.2","-0.5","32.1","16","7"
"Chisholm Jr., Jazz","665862","2023","4","54.3","1.1","0.7","0.3","2.1","36.6","46","25"
"Colás, Oscar","693049","2023","-3","28.6","-1.4","-0.3","0.3","-1.3","30.7","28","8"
"Conforto, Michael","624424","2023","-2","39.6","-0.6","0","0.1","-0.5","30.7","48","19"
"Cordero, Franchy","614173","2023","-1","20","-0.3","-0.1","0.2","-0.2","31.8","10","2"
"Davis, Henry","680779","2023","-3","25","0.7","0.4","0","1.1","33","28","7"
"Davis, Jonathan","641505","2023","0","58.3","0.9","0.6","-0.2","1.3","34.3","12","7"
"De La Cruz, Bryan","650559","2023","-8","30.7","-0.7","-0.2","0.3","-0.6","31.8","75","23"
"DeLuca, Jonny","676356","2023","0","30","0.5","-1.2","-0.1","-0.8","33.3","10","3"
"Dickerson, Corey","572816","2023","-2","42.9","0.5","-0.1","0.2","0.6","33.5","14","6"
"Donovan, Brendan","680977","2023","1","33.3","0.7","1.6","-0.8","1.5","34.5","15","5"
"Doyle, Brenton","686668","2023","11","69.1","1.1","-1","0.3","0.4","34.6","68","47"
"Dubón, Mauricio","643289","2023","3","66.7","0.8","0.2","0.3","1.2","35.3","18","12"
"Duran, Ezequiel","677649","2023","-2","7.7","0.4","0.8","-1.1","0.1","32.4","13","1"
"Duran, Jarren","680776","2023","0","55.9","1.5","1.4","-0.1","2.8","36.9","34","19"
"Duvall, Adam","594807","2023","-3","31.4","-0.3","1.1","-1.3","-0.6","32.1","35","11"
"Edman, Tommy","669242","2023","6","69.4","0.6","-0.2","-0.1","0.3","34.2","36","25"
"Fairchild, Stuart","656413","2023","1","57.5","0.1","-0.3","0.4","0.3","33.5","40","23"
"Fletcher, Dominic","666150","2023","3","50","2","2.4","-1","3.5","34.8","14","7"
"Fraley, Jake","641584","2023","3","50","1.9","0.2","0.2","2.3","35.2","40","20"
"Frelick, Sal","686217","2023","5","67.9","1.9","0.9","-0.3","2.5","35.1","28","19"
"Friedl, TJ","670770","2023","5","55","0.8","1.4","-2","0.2","33.3","60","33"
"Gallo, Joey","608336","2023","-3","20","-0.3","0.6","-0.2","0.1","33.5","15","3"
"García, Adolis","666969","2023","0","47.6","0.6","0.6","-0.1","1.1","34.6","84","40"
"Garrett, Stone","656448","2023","0","43.8","0","-0.8","0.3","-0.6","33.4","16","7"
"Gonzalez, Oscar","660757","2023","-4","35","-2.8","0.3","-1.3","-3.7","29.8","20","7"
"Greene, Riley","682985","2023","-2","41.2","-0.9","1.2","-2","-1.7","31.7","34","14"
"Grichuk, Randal","545341","2023","-6","29.8","-1","-1.5","0.4","-2","30.1","57","17"
"Grisham, Trent","663757","2023","4","58.7","0.2","1.5","-0.9","0.9","35.3","75","44"
"Grossman, Robbie","543257","2023","-3","26.7","-1.2","1.2","-0.9","-0.9","31.6","30","8"
"Gurriel Jr., Lourdes","666971","2023","0","48.8","-0.3","0.5","-0.2","0","33","43","21"
"Hampson, Garrett","641658","2023","0","60","0.6","-0.4","-0.3","0","34.3","10","6"
"Haniger, Mitch","571745","2023","-3","30","-1","0.2","-0.3","-1.1","31.8","20","6"
"Happ, Ian","664023","2023","-5","43.9","-0.6","1","-0.7","-0.3","33","66","29"
"Harris II, Michael","671739","2023","7","50.7","1.5","-0.2","0.4","1.7","35.6","69","35"
"Hays, Austin","669720","2023","2","47.1","-0.7","-0.9","0.5","-1.2","31.9","51","24"
"Hernández, Enrique","571771","2023","-1","60","0.1","3.4","-2.2","1.2","36","10","6"
"Hernández, Teoscar","606192","2023","-1","43.3","-0.6","-0.5","0.8","-0.3","32.7","67","29"
"Heyward, Jason","518792","2023","5","65.5","0.7","0.3","0","1","34.3","55","36"
"Hicks, Aaron","543305","2023","-5","35.9","-0.5","0.6","-0.1","0","33.7","39","14"
"Isbel, Kyle","664728","2023","10","66","1.6","2.4","-1.2","2.7","36.8","50","33"
"Jankowski, Travis","608671","2023","4","53.8","1.3","0.1","-0.6","0.8","34.1","39","21"
"Joe, Connor","656582","2023","1","58.6","0.7","-0.3","0.6","1.1","33.8","29","17"
"Johnson, Bryce","669369","2023","1","54.5","1.5","-1","0.5","0.9","34.7","11","6"
"Jones, Nolan","666134","2023","-3","31.4","-0.8","-1.1","0.2","-1.7","30.3","35","11"
