player,team,mine,mineStat,npbUsed,npbDerived,materialGap,pp,diff,adj,tier,years,games,pa,ppFirst,ppLast,ppTotal,ppChanges,ppUnchanged,ppObs,confidence,directT90,shortDist,bigDiff,needReview
山本 祐大,横浜DeNAベイスターズ,57.9,47.9,31,60.97829658070631,13.078296580706315,61,-3.1000000000000014,-2.242396890437682,3,3,50,184,50,61,11,1,1981,44,中,0,0,,false
柳町 達,福岡ソフトバンクホークス,61.5,51.1,31.5,64.79939293192317,13.699392931923164,67,-5.5,-2.2172380295893674,3,4,60,214,63,67,4,3,966,34,中,0,0,,false
栗原 陵矢,福岡ソフトバンクホークス,59.3,46.5,31.3,63.27095439143642,16.77095439143642,59,0.29999999999999716,2.100720444336659,3,3,100,439,56,59,3,7,1533,53,中,0,0,,false
筒香 嘉智,横浜DeNAベイスターズ,50.6,37,30.2,54.864542418759385,17.864542418759385,45,5.600000000000001,1.5399198639532372,3,2,61,240,52,45,-7,3,1044,38,中,1,2,,false
石井 一成,埼玉西武ライオンズ,69.2,56.3,32.6,73.2058049046002,16.905804904600203,79,-9.799999999999997,-1.3300926883304527,3,4,62,216,65,79,14,2,1834,45,中,0,0,,false
岩田 幸宏,東京ヤクルトスワローズ,80.8,80.6,33.6,80.84799760703385,0.24799760703385232,96,-15.200000000000003,1.0843080855141096,3,2,91,330,85,96,11,2,303,14,中,0,0,,false
滝澤 夏央,埼玉西武ライオンズ,74,66.5,33,76.26268198557366,9.762681985573664,85,-11,0.7034524594673002,3,2,93,363,81,85,4,1,1162,23,中,0,0,,false
岡林 勇希,中日ドラゴンズ,70.9,66,32.5,72.44158563435681,6.441585634356812,81,-10.099999999999994,-0.4848787818187503,3,4,54,235,78,81,3,1,1440,34,中,0,0,,false
海野 隆司,福岡ソフトバンクホークス,53.6,47.2,30.3,55.62876168900277,8.42876168900277,52,1.6000000000000014,-0.4391144186731637,3,2,75,228,52,52,0,0,2182,34,中,0,0,,false
板山 祐太郎,中日ドラゴンズ,66,57.7,32,68.62048928313999,10.920489283139986,72,-6,0.3142105464710312,3,2,67,182,72,72,0,0,3715,52,中,0,0,,false
藤原 恭大,千葉ロッテマリーンズ,73.4,64.1,33,76.26268198557366,12.16268198557367,85,-11.599999999999994,-0.3007406840074083,3,4,63,278,85,85,0,0,2625,39,中,0,0,,false
