order	player	team	pp	pp_pct	estimate_pct	range_low_pct	range_high_pct	band	recommendation	strength	confidence	gap	physical_coverage	peak_z	accel_z	accel_conf	end_z	end_conf	S_z	game_z	community_z	peak_share	reason_code	supporting_lanes
27	野村 佑希	北海道日本ハムファイターズ	52	0.2067	0.475	0.055	0.845	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.2683	0.328	0.0703	0	0	0	0	-0.39	-0.5743690535751574	0	0.21924834194781748	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
28	ソト	千葉ロッテマリーンズ	0	0	0.135	0.005	0.565	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.135	0.4	-1.2072	0	0	0	0	0	0	0	1	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
29	ポランコ	千葉ロッテマリーンズ	63	0.4289	0.665	0.165	0.895	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.23610000000000003	0.6168515763902311	-0.4088	1.078940834452602	0.5408232193308029	0.6155769061025619	0.42201536863663436	0	0.09543922924991097	0	0.3436938440290877	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	initial_acceleration,end_to_end_maintenance
30	佐藤 都志也	千葉ロッテマリーンズ	71	0.6641	0.455	0.085	0.795	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.2091	0.4273221594404618	-0.2491	0.19271164556474088	0.024782115433464647	0.19271164556474088	0.06629174936807469	-0.0207	0.3208209400000178	0	0.8354769913893906	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed
31	友杉 篤輝	千葉ロッテマリーンズ	87	0.9432	0.805	0.505	0.965	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.1382	0.5518253928519742	0.8687	0.6028025344645401	0.18908455818298897	0.18739768716705707	0.31700008465692475	0.3769	0.1971704875186436	0	0.770638616375565	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
32	安田 尚憲	千葉ロッテマリーンズ	46	0.1189	0.045	0.005	0.355	VERY_SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.07390000000000001	0.3553221594404618	-1.6064	-3	0.024782115433464647	-3	0.06629174936807469	-0.7143	-0.8136714219880071	0	0.7035069595375077	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,end_to_end_maintenance,S_context,game_context
33	小川 龍成	千葉ロッテマリーンズ	86	0.9354	0.855	0.565	0.985	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.08040000000000003	0.4	1.4276	0	0	0	0	0.2438	-0.4610292993770873	0	0.9377713098973317	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	game_context
34	山口 航輝	千葉ロッテマリーンズ	52	0.2067	0.585	0.085	0.895	AVERAGE	POWERPRO_TOO_LOW	MULTI_LANE_TECHNIQUE_SEPARATED	LOW	0.37829999999999997	0.3553221594404618	0.2299	-1.7344048100826635	0.024782115433464647	-1.7344048100826637	0.06629174936807469	-0.3994	-0.38608146610314475	1	0.4186688108663686	PHYSICAL_SPEED_POSITIVE_TECHNIQUE_CONTEXT_SEPARATED	peak_speed,community_physical
35	岡 大海	千葉ロッテマリーンズ	82	0.8579	0.765	0.285	0.965	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.09289999999999998	0.3398996458745251	0.7888	-0.7708465822589592	0.01069710109649924	-0.7708465822589592	0.028968385151917686	0.603	0.9623999267849985	0	0.742279757029473	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
36	藤原 恭大	千葉ロッテマリーンズ	85	0.9251	0.915	0.705	0.985	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.010099999999999998	0.6204165237652169	1.1082	0.40611769761994587	0.3283714750789971	0.46095436710827203	0.40635027080505937	0.7648	0.8683769379970434	0	0.6409622552103396	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
37	藤岡 裕大	千葉ロッテマリーンズ	65	0.509	0.245	0.005	0.695	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.264	0.328	-0.6483	0	0	0	0	-0.6552	-0.9294844833986079	0	0.5967539211570315	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,S_context,game_context
