player,mine_current,mine_candidate,delta,pp,raw_diff_current,raw_diff_candidate,tier_current,tier_candidate,causes_candidate,stale_candidate
清宮 幸太郎,61.7,60.8,-0.90,56,5.700000000000003,4.799999999999997,2,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
小幡 竜平,69.8,70.5,0.70,77,-7.200000000000003,-6.5,2,2,"POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK",POWERPRO_STALE_POSSIBLE
牧 秀悟,61.1,60.4,-0.70,67,-5.899999999999999,-6.600000000000001,3,3,"",NO_STALE_EVIDENCE
大山 悠輔,53.4,52.7,-0.70,58,-4.600000000000001,-5.299999999999997,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
石川 昂弥,54.1,53.5,-0.60,41,13.100000000000001,12.5,2,2,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
古賀 悠斗,54.1,53.6,-0.50,47,7.100000000000001,6.600000000000001,3,3,"",NO_STALE_EVIDENCE
田宮 裕涼,66.8,66.3,-0.50,68,-1.2000000000000028,-1.7000000000000028,2,3,"",NO_STALE_EVIDENCE
栗原 陵矢,59.3,59.8,0.50,59,0.29999999999999716,0.7999999999999972,3,3,"",NO_STALE_EVIDENCE
中村 悠平,52.8,52.4,-0.40,56,-3.200000000000003,-3.6000000000000014,2,2,"POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK",POWERPRO_STALE_POSSIBLE
紅林 弘太郎,54.9,54.5,-0.40,56,-1.1000000000000014,-1.5,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
梅野 隆太郎,54.2,54.5,0.30,57,-2.799999999999997,-2.5,2,2,"CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
安田 尚憲,47.2,47.1,-0.10,46,1.2000000000000028,1.1000000000000014,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
ソト,42.7,42.7,0.00,40,2.700000000000003,2.700000000000003,3,3,"",NO_STALE_EVIDENCE
