player,team,mine,stat,npbDerived,npbUsed,pp,rawDiff,scalePart,scaleAdj,conflictRaw,conflictResid,conflictVerdict,stale,causes,games,pa,years,ageNow,nChg,lastChangeYear,directT90,shortD,exposure
岩田 幸宏,東京ヤクルトスワローズ,80.8,80.6,80.84799760703385,33.6,96,-15.200000000000003,-16.284308085514112,1.0843080855141096,0.24799760703385232,-14.170622643893049,UNRESOLVED_PROJECT_CONFLICT,NO_STALE_EVIDENCE,MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT,91,330,2,,2,2025,0,0,SOURCE_PA_200_399
長岡 秀樹,東京ヤクルトスワローズ,61,46.3,65.56361220216652,31.6,58,3,-2.9459343508483755,5.9459343508483755,19.263612202166527,4.844991951239626,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,85,355,4,,1,2022,0,0,SOURCE_PA_200_399
太田 光,東北楽天ゴールデンイーグルス,54.9,47.7,57.15720022948949,30.5,44,10.899999999999999,1.1633626078112727,9.736637392188726,9.457200229489487,-4.961420021437414,,NO_STALE_EVIDENCE,,72,204,4,,2,2024,0,0,SOURCE_PA_200_399
村林 一輝,東北楽天ゴールデンイーグルス,78.7,49.9,87.72597103922413,34.5,69,9.700000000000003,-14.869632083352599,24.5696320833526,37.825971039224136,23.407350788297236,PARTIALLY_EXPLAINED,POWERPRO_STALE_SUPPORTED,MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD,96,386,3,,2,2023,0,0,SOURCE_PA_200_399
浅村 栄斗,東北楽天ゴールデンイーグルス,52.9,39.3,57.15720022948949,30.5,35,17.9,2.5106730860603435,15.389326913939655,17.857200229489493,3.4385799785625917,,NO_STALE_EVIDENCE,,87,333,4,,6,2025,0,0,SOURCE_PA_200_399
渡邊 佳明,東北楽天ゴールデンイーグルス,54.3,50.3,55.62876168900277,30.3,50,4.299999999999997,1.567555751285994,2.7324442487140033,5.328761689002775,-9.089858561924126,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,54,140,3,,0,,0,0,SOURCE_PA_100_199
鈴木 大地,東北楽天ゴールデンイーグルス,46.5,48.9,45.69391117583899,29,49,-2.5,6.822066616457349,-9.322066616457349,-3.2060888241610073,-17.624709075087907,PARTIALLY_EXPLAINED,NO_STALE_EVIDENCE,MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK,34,55,4,,2,2025,0,0,SOURCE_PA_50_99
京田 陽太,横浜DeNAベイスターズ,59.2,51.2,61.7425158509497,31.1,78,-18.799999999999997,-1.733354920424219,-17.06664507957578,10.542515850949698,-3.876104399977203,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD,45,119,4,,5,2023,0,0,SOURCE_PA_100_199
佐野 恵太,横浜DeNAベイスターズ,53.5,39.5,57.92141949973288,30.6,48,5.5,2.106479942585622,3.393520057414378,18.421419499732878,4.002799248805976,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,95,396,4,,1,2023,0,0,SOURCE_PA_200_399
宮﨑 敏郎,横浜DeNAベイスターズ,52.3,41.8,55.62876168900277,30.3,33,19.299999999999997,2.9148662295350647,16.385133770464932,13.828761689002775,-0.5898585619241263,,NO_STALE_EVIDENCE,,75,267,4,,5,2024,0,0,SOURCE_PA_200_399
山本 祐大,横浜DeNAベイスターズ,57.9,47.9,60.97829658070631,31,61,-3.1000000000000014,-0.8576031095623193,-2.242396890437682,13.078296580706315,-1.3403236702205863,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,50,184,3,,1,2023,0,0,SOURCE_PA_100_199
度会 隆輝,横浜DeNAベイスターズ,63,52.5,66.32783147240988,31.7,65,-2,-4.293244829097432,2.293244829097432,13.827831472409883,-0.5907887785170178,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,91,317,2,,0,,0,0,SOURCE_PA_200_399
林 琢真,横浜DeNAベイスターズ,64.8,52.8,68.62048928313999,32,82,-17.200000000000003,-5.505824259521589,-11.694175740478414,15.820489283139992,1.4018690322130904,,NO_STALE_EVIDENCE,MODEL_SCALE,42,104,3,,1,2025,0,1,SOURCE_PA_100_199
梶原 昂希,横浜DeNAベイスターズ,75.8,64.5,79.3195590665471,33.4,90,-14.200000000000003,-12.916031889891457,-1.283968110108546,14.8195590665471,0.40093881562019895,,NO_STALE_EVIDENCE,MODEL_SCALE|CURRENT_EVIDENCE_WEAK,28,73,2,,2,2024,0,0,SOURCE_PA_50_99
牧 秀悟,横浜DeNAベイスターズ,61.1,46.9,65.56361220216652,31.6,67,-5.899999999999999,-3.0132998747608255,-2.886700125239173,18.663612202166526,4.244991951239625,,NO_STALE_EVIDENCE,,65,288,4,,0,,0,0,SOURCE_PA_200_399
筒香 嘉智,横浜DeNAベイスターズ,50.6,37,54.864542418759385,30.2,45,5.600000000000001,4.060080136046764,1.5399198639532372,17.864542418759385,3.4459221678324834,,NO_STALE_EVIDENCE,,61,240,2,,3,2025,1,2,SOURCE_PA_200_399
蝦名 達夫,横浜DeNAベイスターズ,61.8,54.7,64.03517366167978,31.4,75,-13.200000000000003,-3.484858542148004,-9.715141457851999,9.335173661679775,-5.083446589247126,,NO_STALE_EVIDENCE,,77,283,3,,1,2025,0,0,SOURCE_PA_200_399
今宮 健太,福岡ソフトバンクホークス,54,46.4,56.3929809592461,30.4,66,-12,1.769652323023351,-13.769652323023351,9.992980959246104,-4.425639291680797,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD,47,138,4,,4,2019,0,0,SOURCE_PA_100_199
周東 佑京,福岡ソフトバンクホークス,86.8,71.8,91.54706739044099,35,96,-9.200000000000003,-20.32623952026131,11.126239520261308,19.74706739044099,5.328447139514088,,POWERPRO_STALE_SUPPORTED,MODEL_SCALE|POWERPRO_STALE_OR_ODD,95,404,4,,3,2021,0,0,SOURCE_PA_400_PLUS
山川 穂高,福岡ソフトバンクホークス,45.2,33.6,48.75078825681243,29.4,47,-1.7999999999999972,7.697818427319234,-9.497818427319231,15.150788256812426,0.7321680058855247,,NO_STALE_EVIDENCE,MODEL_SCALE,46,168,3,,2,2024,0,0,SOURCE_PA_100_199
柳田 悠岐,福岡ソフトバンクホークス,64.3,47.9,69.38470855338338,32.1,67,-2.700000000000003,-5.168996639959332,2.468996639959329,21.484708553383378,7.0660883024564765,,NO_STALE_EVIDENCE,MODEL_SCALE,89,333,3,,6,2025,0,0,SOURCE_PA_200_399
柳町 達,福岡ソフトバンクホークス,61.5,51.1,64.79939293192317,31.5,67,-5.5,-3.2827619704106326,-2.2172380295893674,13.699392931923164,-0.7192273190037373,,NO_STALE_EVIDENCE,,60,214,4,,3,2024,0,0,SOURCE_PA_200_399
栗原 陵矢,福岡ソフトバンクホークス,59.3,46.5,63.27095439143642,31.3,59,0.29999999999999716,-1.8007204443366618,2.100720444336659,16.77095439143642,2.3523341405095177,,NO_STALE_EVIDENCE,,100,439,3,,7,2025,0,0,SOURCE_PA_400_PLUS
正木 智也,福岡ソフトバンクホークス,58.2,46.9,61.7425158509497,31.1,48,10.200000000000003,-1.0596996812996835,11.259699681299686,14.842515850949702,0.42389560002280113,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK,62,292,1,,0,,0,0,SOURCE_PA_200_399
海野 隆司,福岡ソフトバンクホークス,53.6,47.2,55.62876168900277,30.3,52,1.6000000000000014,2.039114418673165,-0.4391144186731637,8.42876168900277,-5.989858561924132,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,75,228,2,,0,,0,0,SOURCE_PA_200_399
